t,x,y,couleur
0,25.2043,46.5311,bleu
0,25.2043,47.6536,bleu
0,25.2043,48.776,bleu
0,26.3268,5,bleu
0,26.3268,6.12246,bleu
0,26.3268,7.24492,bleu
0,26.3268,8.36739,bleu
0,26.3268,9.48985,bleu
0,26.3268,10.6123,bleu
0,26.3268,11.7348,bleu
0,26.3268,12.8572,bleu
0,26.3268,13.9797,bleu
0,26.3268,15.1022,bleu
0,26.3268,16.2246,bleu
0,26.3268,17.3471,bleu
0,26.3268,18.4695,bleu
0,26.3268,19.592,bleu
0,26.3268,20.7145,bleu
0,26.3268,21.8369,bleu
0,26.3268,22.9594,bleu
0,26.3268,24.0819,bleu
0,26.3268,25.2043,bleu
0,26.3268,26.3268,bleu
0,26.3268,27.4492,bleu
0,26.3268,28.5717,bleu
0,26.3268,29.6942,bleu
0,26.3268,30.8166,bleu
0,26.3268,31.9391,bleu
0,26.3268,33.0616,bleu
0,26.3268,34.184,bleu
0,26.3268,35.3065,bleu
0,26.3268,36.4289,bleu
0,26.3268,37.5514,bleu
0,26.3268,38.6739,bleu
0,26.3268,39.7963,bleu
0,26.3268,40.9188,bleu
0,26.3268,42.0412,bleu
0,26.3268,43.1637,bleu
0,26.3268,44.2862,bleu
0,26.3268,45.4086,bleu
0,26.3268,46.5311,bleu
0,26.3268,47.6536,bleu
0,26.3268,48.776,bleu
0,27.4492,5,bleu
0,27.4492,6.12246,bleu
0,27.4492,7.24492,bleu
0,27.4492,8.36739,bleu
0,27.4492,9.48985,bleu
0,27.4492,10.6123,bleu
0,27.4492,11.7348,bleu
0,27.4492,12.8572,bleu
0,27.4492,13.9797,bleu
0,27.4492,15.1022,bleu
0,27.4492,16.2246,bleu
0,27.4492,17.3471,bleu
0,27.4492,18.4695,bleu
0,27.4492,19.592,bleu
0,27.4492,20.7145,bleu
0,27.4492,21.8369,bleu
0,27.4492,22.9594,bleu
0,27.4492,24.0819,bleu
0,27.4492,25.2043,bleu
0,27.4492,26.3268,bleu
0,27.4492,27.4492,bleu
0,27.4492,28.5717,bleu
0,27.4492,29.6942,bleu
0,27.4492,30.8166,bleu
0,27.4492,31.9391,bleu
0,27.4492,33.0616,bleu
0,27.4492,34.184,bleu
0,27.4492,35.3065,bleu
0,27.4492,36.4289,bleu
0,27.4492,37.5514,bleu
0,27.4492,38.6739,bleu
0,27.4492,39.7963,bleu
0,27.4492,40.9188,bleu
0,27.4492,42.0412,bleu
0,27.4492,43.1637,bleu
0,27.4492,44.2862,bleu
0,27.4492,45.4086,bleu
0,27.4492,46.5311,bleu
0,27.4492,47.6536,bleu
0,27.4492,48.776,bleu
0,28.5717,5,bleu
0,28.5717,6.12246,bleu
0,28.5717,7.24492,bleu
0,28.5717,8.36739,bleu
0,28.5717,9.48985,bleu
0,28.5717,10.6123,bleu
0,28.5717,11.7348,bleu
0,28.5717,12.8572,bleu
0,28.5717,13.9797,bleu
0,28.5717,15.1022,bleu
0,28.5717,16.2246,bleu
0,28.5717,17.3471,bleu
0,28.5717,18.4695,bleu
0,28.5717,19.592,bleu
0,28.5717,20.7145,bleu
0,28.5717,21.8369,bleu
0,28.5717,22.9594,bleu
0,28.5717,24.0819,bleu
0,28.5717,25.2043,bleu
0,28.5717,26.3268,bleu
0,28.5717,27.4492,bleu
0,28.5717,28.5717,bleu
0,28.5717,29.6942,bleu
0,28.5717,30.8166,bleu
